siteid,heat_elec,heat_elec_type,heat_elec_control,heat_elec_dist,heat_gas,heat_gas_type,heat_gas_control,heat_gas_dist,backup_elec,backup_gas,backup_other,num_bath,num_bedroom,MoveIn,year_built,homebusiness,homerent,primaryres,income_support,workingoutside,num_occupant,has_kid,has_senior,dish_load,washer_load,ac_use,heat_sp,heat_sp_night,avg_height,ua_ceiling,has_dryer,num_computer,cook_elec,cook_gas,has_washer,dryer_elec,dryer_gas,num_audio,num_charger,num_game,num_tv,y_kwh,y_kbtu,light_ex_watt,ua_floor,light_in_watt,bldg_type,level_floor,num_room,tot_sqft,tot_vol,fraction_window,hdd65,cdd65,population_city,pv,year_ref,vol_ref,flow_shower,ua_total,ua_wall,hw_elec,hw_gas,hw_btuhr,hw_kw,hw_solar,hw_conditioned,hw_year,hw_size,hw_type,ua_window
20702,0,none,none,none,1,faf,thermostat,ducted,1,0,0,1,3,1977,1896,0,0,1,0,0,1,0,0,1,2,0,72,60,7.5,90.7200012207031,1,NA,1,0,1,1,0,5,4,0,2,5376.810546875,NA,200,69.120002746582,1726,Single,2,11,2464,18480,0.0900000035762787,7733,311,204565.09375,0,1989,16,1.75,596.080017089844,317.440002441406,0,1,42000,0,0,1,2009,50,tank,118.80000257492071
20775,0,none,none,none,1,faf,programmable,ducted,0,1,0,3,4,2000,2000,0,0,1,0,2,4,1,0,7,7,0,65,65,10,49.125,1,1,0,1,1,0,1,2,5,1,2,8035.96484375,168294.37496253688,450,101,5020,Single,1.5,22,3930,39300,0.140000000596046,8184,233,204565.09375,0,1998.5,22,6,800.364990234375,332.889984130859,0,1,40000,0,0,1,1999,50,tank,317.350006878376
20807,0,none,none,none,1,faf,thermostat,ducted,1,1,0,3,3,2006,1969,0,0,1,0,1,4,1,0,5,5,1,72,68,8,65.25,1,NA,1,0,1,1,0,2,11,2,4,18068.041015625,54782.16760385742,652,131.977676391602,5638,Single,1,21,3683,29464,0.0599999986588955,4784,1154,282240.03125,0,2005,19.5,4.5,691.677673339844,402.400024414063,1,0,0,4.5,0,1,2001,50,tank,86.8499976992607
20998,1,hp,thermostat,ducted,0,none,none,none,0,0,0,3,4,1979,1979,1,0,1,0,1,3,0,0,7,3,1,68,62,8,48.6749992370605,1,10,1,0,1,1,0,4,2,1,5,47010.08984375,NA,600,180.270202636719,5214,Single,1.5,17,2643,21144,0.109999999403954,6488,617,442934.4375,0,1999.6666666666667,23.666666666666668,8.25,540.525207519531,206.279998779297,1,0,0,5.5,0,1,2007,50,tank,105.29999721050261
21143,1,hp,thermostat,zonal,0,none,none,none,1,0,0,2,2,1998,1989,0,0,1,0,1,2,0,0,0,4,0,73,NA,8,34.1500015258789,1,1,1,0,1,1,0,1,3,2,2,3359.29541015625,NA,161,69.1062393188477,1782,Single,1,10,1366,10928,0.140000000596046,4943,0,166107.25,1,2009.5,20,3,301.126220703125,64.9199981689453,1,0,0,4.5,1,1,2011,50,tank,114.75
21298,0,none,none,none,1,faf,programmable,ducted,1,0,0,3,4,2007,1958,0,0,1,0,0,4,1,1,7,7,1,73,70,8,58.625,1,4,0,1,1,1,0,5,2,2,2,19372.244140625,90964.65561726074,281,105.840003967285,2549,Single,1,16,3196,25568,0.150000005960464,5729,660,442934.4375,0,2005,18,4,796.255004882813,454.039978027344,1,0,0,4.5,0,1,2005,50,tank,177.74999529123303
21343,0,none,none,none,1,faf,programmable,ducted,1,0,0,2,4,1963,1958,0,0,1,0,0,2,0,1,2,3,1,72,68,8,42,1,1,1,0,1,1,0,1,4,1,4,6772.13330078125,42133.96749145204,4510,119.01286315918,2835,Single,1,12,2100,16800,0.109999999403954,4533,313,272743.1875,0,2001.3333333333333,15,3,414.512878417969,144.600006103516,0,1,40000,0,0,1,2003,40,tank,108.90000236034393
21355,1,faf,programmable,ducted,0,none,none,none,0,0,0,1,3,2009,1979,1,0,1,0,1,2,0,1,2,2,1,71,69,8,36.4000015258789,1,2,1,0,1,1,0,1,1,0,3,13913.7939453125,NA,240,28.5452861785889,1749,Single,1,9,1040,8320,0.129999995231628,4533,313,272743.1875,0,2009,18,3,319.8652884960174,133.919998168945,1,0,0,4.5,0,1,2006,50,tank,121.00000262260458
21414,1,hp,programmable,ducted,0,none,none,none,0,0,0,3,3,1994,1985,0,0,1,0,2,3,0,0,4,7,1,70,68,8,102.675003051758,1,2,1,0,1,1,0,1,3,0,4,17150.765625,NA,196,54.0631866455078,2468,Single,1,12,1369,10952,0.129999995231628,5898,509,282240.03125,0,1994,22,5,360.108215332031,120.320007324219,1,0,0,3.5,0,1,2009,50,tank,83.05000180006027
21588,1,baseboard,thermostat,zonal,0,none,none,none,0,0,0,1,2,2008,1978,0,1,1,0,0,1,0,1,3,3,0,68,65,8,NA,1,1,1,0,1,NA,NA,0,4,0,2,7958.07763671875,NA,13,89.0600051879883,1093,Multiplex,1,7,950,7600,0.100000001490116,6433,264,442934.4375,0,2002,19,4.5,226.940002441406,89.879997253418,1,0,0,4.5,0,1,2003,50,tank,48.00000190734864
